date,soil_moisture,nitrogen_concentration,humidity,soil_temperature,air_temperature,plant_species
2024-01-01 08:00:00,65.2,12.5,72.3,18.5,22.1,Tomato
2024-01-01 10:00:00,63.8,12.3,75.1,19.2,23.8,Tomato
2024-01-01 12:00:00,61.5,12.1,78.4,20.1,25.3,Tomato
2024-01-01 14:00:00,59.2,11.9,76.8,21.3,26.7,Tomato
2024-01-01 16:00:00,57.8,11.7,74.2,20.8,25.9,Tomato
2024-01-01 18:00:00,60.1,11.8,71.5,19.7,24.2,Tomato
2024-01-01 20:00:00,62.4,12.0,69.8,18.9,22.8,Tomato
2024-01-01 22:00:00,64.7,12.2,68.3,18.2,21.5,Tomato
2024-01-02 08:00:00,58.3,14.2,70.5,17.8,21.3,Lettuce
2024-01-02 10:00:00,56.9,14.0,73.2,18.6,22.9,Lettuce
2024-01-02 12:00:00,54.7,13.8,76.8,19.4,24.5,Lettuce
2024-01-02 14:00:00,52.4,13.6,75.1,20.7,26.1,Lettuce
2024-01-02 16:00:00,51.0,13.4,72.4,20.2,25.3,Lettuce
2024-01-02 18:00:00,53.2,13.5,69.7,19.1,23.6,Lettuce
2024-01-02 20:00:00,55.5,13.7,67.9,18.3,22.2,Lettuce
2024-01-02 22:00:00,57.8,13.9,66.4,17.6,20.9,Lettuce
2024-01-03 08:00:00,62.1,11.8,68.9,19.2,20.8,Pepper
2024-01-03 10:00:00,60.7,11.6,71.6,20.0,22.4,Pepper
2024-01-03 12:00:00,58.5,11.4,75.2,20.8,24.0,Pepper
2024-01-03 14:00:00,56.2,11.2,73.5,22.1,25.6,Pepper
2024-01-03 16:00:00,54.8,11.0,70.8,21.6,24.8,Pepper
2024-01-03 18:00:00,57.0,11.1,68.1,20.5,23.1,Pepper
2024-01-03 20:00:00,59.3,11.3,66.3,19.7,21.7,Pepper
2024-01-03 22:00:00,61.6,11.5,64.8,19.0,20.4,Pepper
2024-01-04 08:00:00,55.4,13.5,71.2,16.9,19.7,Cucumber
2024-01-04 10:00:00,54.0,13.3,73.9,17.7,21.3,Cucumber
2024-01-04 12:00:00,51.8,13.1,77.5,18.5,22.9,Cucumber
2024-01-04 14:00:00,49.5,12.9,75.8,19.8,24.5,Cucumber
2024-01-04 16:00:00,48.1,12.7,73.1,19.3,23.7,Cucumber
2024-01-04 18:00:00,50.3,12.8,70.4,18.2,22.0,Cucumber
2024-01-04 20:00:00,52.6,13.0,68.6,17.4,20.6,Cucumber
2024-01-04 22:00:00,54.9,13.2,67.1,16.7,19.3,Cucumber
2024-01-05 08:00:00,67.8,10.9,74.6,21.3,24.2,Carrot
2024-01-05 10:00:00,66.4,10.7,77.3,22.1,25.8,Carrot
2024-01-05 12:00:00,64.2,10.5,80.9,22.9,27.4,Carrot
2024-01-05 14:00:00,61.9,10.3,79.2,24.2,29.0,Carrot
2024-01-05 16:00:00,60.5,10.1,76.5,23.7,28.2,Carrot
2024-01-05 18:00:00,62.7,10.2,73.8,22.6,26.5,Carrot
2024-01-05 20:00:00,65.0,10.4,72.0,21.8,25.1,Carrot
2024-01-05 22:00:00,67.3,10.6,70.5,21.1,23.8,Carrot
2024-01-06 08:00:00,59.6,12.8,69.8,18.7,21.9,Spinach
2024-01-06 10:00:00,58.2,12.6,72.5,19.5,23.5,Spinach
2024-01-06 12:00:00,56.0,12.4,76.1,20.3,25.1,Spinach
2024-01-06 14:00:00,53.7,12.2,74.4,21.6,26.7,Spinach
2024-01-06 16:00:00,52.3,12.0,71.7,21.1,25.9,Spinach
2024-01-06 18:00:00,54.5,12.1,69.0,20.0,24.2,Spinach
2024-01-06 20:00:00,56.8,12.3,67.2,19.2,22.8,Spinach
2024-01-06 22:00:00,59.1,12.5,65.7,18.5,21.5,Spinach
2024-01-07 08:00:00,63.5,11.3,73.4,20.4,23.5,Broccoli
2024-01-07 10:00:00,62.1,11.1,76.1,21.2,25.1,Broccoli
2024-01-07 12:00:00,59.9,10.9,79.7,22.0,26.7,Broccoli
2024-01-07 14:00:00,57.6,10.7,78.0,23.3,28.3,Broccoli
2024-01-07 16:00:00,56.2,10.5,75.3,22.8,27.5,Broccoli
2024-01-07 18:00:00,58.4,10.6,72.6,21.7,25.8,Broccoli
2024-01-07 20:00:00,60.7,10.8,70.8,20.9,24.4,Broccoli
2024-01-07 22:00:00,63.0,11.0,69.3,20.2,23.1,Broccoli
